pf-pf  136.46   2.092	
pf-px  169.76   2.005	
pf-py  161.32   2.025	
pf-s   390.65   1.758	
pf-sx  133.00   2.168	
pf-sy  119.67   2.213	
px-py  105.60   2.199	
px-sx  111.92   2.242	
px-sy  110.14   2.249	
py-py  108.87   2.186	
py-sx  107.66   2.259	
py-sy  128.67   2.182	
s4-s4  243.62   2.080	
s4-s6  243.62   2.080	
s4-sh  196.89   2.168	
s4-ss  197.83   2.166	
s6-s6  243.62   2.080	
s6-sh  227.44   2.108	
s6-ss  221.98   2.118	
sh-sh  257.31   2.058	
sh-ss  251.60   2.067	
s -s   276.08   2.030	
s -s2  391.11   1.897	
s -s4  246.05   2.076	
s -s6  270.56   2.038	
s -sh  226.34   2.110	
s -ss  238.28   2.089	
ss-ss  248.01   2.073	
sx-sx  119.03   2.391	
sx-sy  160.84   2.255	
sy-sy  162.69   2.250	
br-cd  172.53   1.885	
c1-cf  518.69   1.315	
cd-f   364.99   1.341	
cd-n4  236.72   1.493	
cd-nf  356.61   1.379	
cd-no  296.62   1.429	
cd-sh  223.28   1.769	
cd-sx  198.26   1.811	
cc-cy  259.34   1.505	
cf-cl  174.72   1.764	
cf-cx  261.83   1.502	
cf-cy  250.06   1.516	
cf-na  305.30   1.421	
cf-ss  215.60   1.781	
cq-na  349.52   1.384	
cq-nb  414.72   1.339	
cl-py  152.76   2.045	
f -py  456.16   1.577	
py-s   215.89   1.973	
cy-nh  251.08   1.476	
cy-hx  386.49   1.091	
br-ce  163.42   1.905	
cc-i   110.60   2.120	
cy-n4  214.44   1.522	
cy-p3  146.83   1.908	
cy-na  279.03   1.446	
cx-n4  234.29   1.496	
ne-s4  338.65   1.660	
cv-ss  228.75   1.761	
cy-no  216.62   1.519	
ce-cv  436.82   1.360	
cd-i   111.95   2.115	
cy-s4  149.47   1.913	
n2-sy  491.42   1.544	
cc-s6  196.41   1.814	
i -s2   48.08   2.883	
br-cy  144.56   1.951	
br-cf  163.42   1.905	
nf-s4  338.65   1.660	
cf-cv  436.82   1.360	
cd-s6  196.41   1.814	
ss-sy  177.36   2.212	
h5-ce  390.52   1.089	
h5-cf  390.52   1.089	
ce-s4  226.75   1.764	
cf-s4  226.69   1.764	
cy-py  136.02   1.937	
cd-o   649.55   1.219	
ne-s6  412.23   1.598	
nf-s6  412.23   1.598	
ce-no  262.66   1.463	
cf-no  262.66   1.463
Pd-1e  86.000   2.068  #ABIDOH
Pd-2e  86.000   2.068  #ABIDOH    
Pd-3e  86.000   2.068  #ABIDOH     
Pd-4e  86.000   2.068  #ABIDOH
Pd-1c  144.54   2.380 
Pd-2c  144.54   2.380
Pd-3c  144.54   2.380  
Pd-4c  144.54   2.380
Pd-1s  145.83   2.374  
Pd-2s  145.83   2.374
Pd-3s  145.83   2.374  
Pd-4s  145.83   2.374 
Pd-1p  146.52   2.319  
Pd-2p  146.52   2.319 
Pd-3p  146.52   2.319 
Pd-4p  146.52   2.319  
Pd-os  182.61   1.968
Pd-1o  182.61   1.968      
Pd-2o  182.61   1.968 
Pd-3o  182.61   1.968    
Pd-4o  182.61   1.968   
Pd-na  093.62   2.084  #abatik
Pd-n3  114.09   2.040  #abatik   
Pd-1n  072.30   2.213      
Pd-2n  072.30   2.213
Pd-3n  072.30   2.213 
Pd-4n  072.30   2.213     
Pd-n2  170.25   1.985
Pd-p5  146.53   2.319
Pd-1p  146.53   2.319
Pd-2p  146.53   2.319
Pd-3p  146.53   2.319
Pd-4p  146.53   2.319
Pd-ss  145.84   2.374
Pd-1s  145.84   2.374
Pd-2s  145.84   2.374
Pd-3s  145.84   2.374
Pd-4s  145.84   2.374
Pd-ca  170.43   2.001  #ABIDOH
Pd-1d  170.43   2.001
Pd-2d  170.43   2.001
Pd-3d  170.43   2.001
Pd-4d  170.43   2.001
p5-ca  149.645  1.924  #ABIDOH
p3-ca  149.645  1.924  #ABIDOH
o -c   741.977  1.266  #ABIDOH
n -c   453.891  1.365  #ABIDOH
Pd-c   86.000   2.068  #ABIDOH --TRANSFORM --ACETIL
hn-ny  521.38   1.052  #ACETIL --TRANSFORM --ACETIL
ny-c3  254.48   1.539  #ACETIL --TRANSFORM --ACETIL
nb-Pd  98.063   2.114  #ACIWAR --TRANSFORM
cl-Pd  197.41   2.301  #ACIWAR --TRANSFORM
c3-Pd  204.26   1.967  #ACIWAR --TRANSFORM 
